text\translated text
Car rental\Car rental
Sedan\Sedan
Minivan\Minivan
Vehicle\Vehicle
Vehicles\Vehicles
Rental\Rental
Rentals\Rentals
Sort\Sort
By ID\By ID
By name\By name
By type\By type
By fuel percentage\By fuel percentage
By damage percentage\By damage percentage
By owner name\By owner name
By owner phone\By owner phone
By return date\By return date
Database\Database
Connect to database\Connect to database
Local file\Local file
Load from local file\Load from local file
Save to local file\Save to local file
Order logs\Order logs
Open\Open
Delete\Delete
Language\Language
ID\ID
Name\Name
Type\Type
Vehicle ID\Vehicle ID
Vehicle name\Vehicle name
Vehicle type\Vehicle type
Vehicle fuel percentage\Vehicle fuel (%)
Vehicle damage percentage\Vehicle damage (%)
Damage percent\Damage (%)
Damage percentage\Damage (%)
Fuel percent\Fuel (%)
Fuel percentage\Fuel (%)
Select\Select
Rent\Rent
Rent vehicle\Rent vehicle
Cancel\Cancel
Owner name\Owner name
Owner phone\Owner phone
Owner phone number\Owner phone number
Return date\Return date
Return\Return
Return vehicle\Return vehicle
Fuel\Fuel
Damage\Damage
Returned on\Returned on
Add vehicle\Add vehicle
Remove selected\Remove selected
Remove last\Remove last
Select all\Select all
Fill in the details of the vehicle at return\Fill in the details of the vehicle at return
Action\Action
Consequence\Consequence
Are you sure\Are you sure
Confirm\Confirm
Languages\Languages
Choose language\Choose language
Add language\Add language
Apply selected\Apply selected
Rename selected\Rename selected
Remove selected\Remove selected
load vehicles and rentals from the database\load vehicles and rentals from the database
existing vehicles and rentals in the program will be removed\existing vehicles and rentals in the program will be removed
save vehicles and rentals to the database\save vehicles and rentals to the database
existing vehicles and rentals in the database will be removed\existing vehicles and rentals in the database will be removed
save vehicles and rentals to local file\save vehicles and rentals to local file
existing local file will be deleted\existing local file will be deleted
load vehicles and rentals from local file\load vehicles and rentals from local file
remove the last vehicle\remove the last vehicle
remove the last rental\remove the last rental
remove the selected vehicles\remove the selected vehicles
remove the selected rentals\remove the selected rentals
delete the existing log\delete the existing log
There are no vehicles to select\There are no vehicles to select
There are no vehicles to remove\There are no vehicles to remove
No vehicles have been selected\No vehicles have been selected
There are no rentals to select\There are no rentals to select
There are no rentals to remove\There are no rentals to remove
No rentals have been selected\No rentals have been selected
Log file doesn't exist\Log file doesn't exist
Vehicle name must be provided\Vehicle name must be provided
Owner's name must be provided\Owner's name must be provided
Owner's phone must be provided\Owner's phone must be provided
Data source must be provided\Data source must be provided
UserID must be provided\UserID must be provided
Password must be provided\Password must be provided
Initial catalog must be provided\Initial catalog must be provided
Data source\Data source
UserID\UserID
Password\Password
Initial catalog\Initial catalog
